iteration,stack,req_per_sec,avg_latency_ms,p50_ms,p90_ms,p99_ms,total_2xx
1,zeal,72182,13.470,12.000,21.000,28.000,360891
1,raw,82259,11.870,11.000,13.000,25.000,411301
1,express,81568,11.870,11.000,13.000,25.000,407855
2,zeal,69680,13.930,11.000,22.000,44.000,348356
2,raw,82515,11.740,11.000,13.000,19.000,412609
2,express,82861,11.640,11.000,13.000,24.000,414340
3,zeal,69962,13.930,11.000,23.000,36.000,349886
3,raw,72685,13.370,12.000,15.000,30.000,363428
3,express,76867,12.640,11.000,18.000,32.000,384315
4,zeal,68979,14.130,11.000,23.000,42.000,344922
4,raw,78074,12.440,12.000,14.000,30.000,390362
4,express,77629,12.490,11.000,17.000,28.000,388168
5,zeal,67766,14.430,12.000,23.000,34.000,338869
5,raw,84205,11.480,11.000,12.000,22.000,421045
5,express,80214,12.080,11.000,14.000,36.000,401001
6,zeal,70112,13.890,11.000,23.000,34.000,350502
6,raw,73962,13.170,11.000,15.000,32.000,369874
6,express,83651,11.520,10.000,15.000,26.000,418265
7,zeal,69328,14.040,11.000,23.000,35.000,346630
7,raw,79619,12.200,11.000,13.000,29.000,398136
7,express,78611,12.360,11.000,15.000,32.000,393022
8,zeal,65712,14.850,12.000,24.000,35.000,328621
8,raw,79968,12.120,11.000,13.000,24.000,399778
8,express,78982,12.260,11.000,16.000,28.000,394948
9,zeal,70947,13.720,12.000,22.000,30.000,354757
9,raw,77318,12.500,11.000,13.000,34.000,386567
9,express,82042,11.810,11.000,15.000,25.000,410226
10,zeal,65856,14.840,12.000,23.000,48.000,329222
10,raw,76253,12.730,12.000,14.000,23.000,381327
10,express,82874,11.670,11.000,13.000,24.000,414427
